2026-03-17 20:09:47 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:47 | INFO     | evaluate_model | [5/70] 00019_eo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:47 | INFO     | evaluate_model | [5/70] 00019_eo (gt_mode=full)

2026-03-17 20:09:47 | INFO     | evaluate_model |      streams.raw: dice=0.2881 matched_iou=0.0000 inst_recall=0.0000 n_pred=2
2026-03-17 20:09:48 | INFO     | evaluate_model |   satellites.raw: dice=0.6439 matched_iou=0.7934 inst_recall=0.8571 n_pred=33
2026-03-17 20:09:48 | INFO     | evaluate_model |     combined.raw: dice=0.3993 matched_iou=0.7934 inst_recall=0.5455 n_pred=35
2026-03-17 20:09:48 | INFO     | evaluate_model |      streams.raw: dice=null matched_iou=null inst_recall=null n_pred=0
red=2
2026-03-17 20:09:49 | INFO     | evaluate_model | [6/70] 00019_fo (gt_mode=full)
atched_iou=0.7934 inst_recall=1.0000 n_pred=4
2026-03-17 20:09:49 | INFO     | evaluate_model |      streams.raw: dice=0.0921 matched_iou=0.0000 inst_recall=0.0000 n_pred=1
2026-03-17 20:09:49 | INFO     | evaluate_model |   satellites.raw: dice=0.6214 matched_iou=0.7864 inst_recall=0.8214 n_pred=33
2026-03-17 20:09:49 | INFO     | evaluate_model |      streams.raw: dice=0.0967 matched_iou=0.0000 inst_recall=0.0000 n_pred=1
2026-03-17 20:09:49 | INFO     | evaluate_model |     combined.raw: dice=0.2789 matched_iou=0.7864 inst_recall=0.5227 n_pred=34
2026-03-17 20:09:49 | INFO     | evaluate_model |   satellites.raw: dice=0.6251 matched_iou=0.7689 inst_recall=0.8214 n_pred=31
2026-03-17 20:09:50 | INFO     | evaluate_model |     combined.raw: dice=0.2749 matched_iou=0.7689 inst_recall=0.5227 n_pred=32
2026-03-17 20:09:50 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:50 | INFO     | evaluate_model | [6/70] 00019_fo (gt_mode=full)
atched_iou=0.6640 inst_recall=0.5000 n_pred=3
2026-03-17 20:09:50 | INFO     | evaluate_model |      streams.raw: dice=0.3298 matched_iou=0.0000 inst_recall=0.0000 n_pred=2
